id	document	label
5686145	당시 대박쳤던 영화..괜찮다!!	1
8392466	억지스러운 시나리오..지루한 전개.. 1편 보다 못한 구성등.. 2편은 안나오는게 나았다..망작..배우들이 영화보는 눈이 없어서 안타깝다.	0
3398398	ㅋㅋㅋㅋㅋㅋㅋㅋ 반도 안되는 영화	0
2504572	이 영화가 평점이 높은 이유를 모르겠어..ㅡ.ㅡ::	0
1747519	평생 기억할만한 영화,정상적인 소재는 아니지만	1
9972054	요즘 상황 보고 이 영화가 생각났다.	1
10226361	많을 것을 생각하게 만드는 영화입니다.마지막에 사람들이 짐승으로 보이고 아수라가 사람같아 보였습니다.	1
6150881	진짜 재미 없는 영화 공통점....스포츠영화,군대영화,자막 나오는 영화	0
3800651	로버트 드니로의 광기의 복수 연기를 만끽할수 있는 수작 서스펜스 스릴러물	1
8705316	감동감동감동의 도가니탕	1
8164006	세계 어디서나 정치 경제 문화 사회 전반에 걸쳐 변화가 절실한 상황이지만 변화를 가져올 방법이 없다는게 함정인 것 같다...	1
501464	귀여운벤지.. 똑똑한 벤지 예쁘고 귀여운 친구... 압삘럽 ㅎ	1
2163194	당시 개봉날 보고 울면서 나왔다. 돈아까워서..ㅋㅋ	0
10242398	정말 최고의 영화...	1
9733856	잔잔하게 숨막히는 영화 . 연출이 대단하다. 곳곳에 숨어있는 복선. 치밀하다 싶을정도로 섬세한 감정표현. 거기에 김영애의 연기까지	1
10147571	once upon a dream	1
9990660	시나리오 연출 연기 어느것 하나 갖추지 못한 시간이 넘 아까운 억지 싸구려 중국 신파 경극...	0
10055131	거부하는 몸짓으로 저 하늘을 ~ ^^	1
7086350	그만빙빙돌리고 밝혀지게하면안되나요 ?보려다아직도질질끌어짜증나.안봄 여기서또사고터져 또질질끌면진짜짜증날듯 ?빨리빨리밝혀질건밝혀지면서반전이있든지 ?작가님 이드라마사랑하고잼있는데 넘끌어짜증나요	0
9849333	졸면서 봤다 왜이리 평정이 높은겨 내용도 별거 없고 아오 감수성 영화냐 이거	0
2626505	기대하지 않았던 영화의 아름다움이 밀려온다. 꽤 괜찮다았던 영화.	1
6237908	진짜 한번만더 이런영화 상영하면 용서하지 않는다지금 영화보면서 카톡하고잇음 아놔 진짜	0
9484080	살아는 있지만 생동감을 잃은 박물관	0
9578706	노땅들의 한심한 추억미화	0
4996289	어릴적에 눈물흘리며 웃던기억에 간신히 찾아 다시 봤네요 ^^	1
1109987	인종차별과 유괴라는 두주제의 불협화음	0
7551529	고명환이 연기가 쩌냐? 아니면 돈이 없어 쓴거냐..후자라면 볼가치가 없는영화	0
5080819	속편에서는주인공이전작처럼앨빈의밴드였으면좋았을것같다.캐릭터추가로더이상해진듯	0
156982	혼자 보긴 너무 아깝다. 2004년 올해의 영화.	1
8082654	마지막 결투씬 최고! ㅋㅋ 폭풍눈물에~ 팝핀현준 할아버지 ㅋㅋㅋ	1
9659875	ㄵ 5점대asfgsdlgkbjsjvb	0
9215986	좋아 상술최고..아니 선거술 최고...	1
9076407	쓰레기 함부로 버리지 맙시다.	1
9265375	글쎄 나와는 안 맞는 성향의 영화 중 하나. OST는 들을 만함	0
3978509	즐~~~~~	0
9293103	막장도 재미가있어야 보지..재미도 없고 짜증만 남남녀주인공이 어울리면 참고보겠는데 진짜 안어울리고웬만하면 다 재밌게 보는데 진짜 내가본것중 제일 최악이였음!!무튼 주인공들부터시작해서 성격 개 이상함!!조기종영이 답이다...	0
7931340	줄리델피는 나이가 들수록 멋지다!	1
3382430	내가 본 일드 중 쵝오~!!!!!>0<	1
9880437	역시 명작은 명작이다...	1
10153465	글쎄요.... 뭐랄까... 영화 제목을 잘못 보고 착각한 내 잘못이랄까...	0
10049872	그냥 기독교영화네요. 좀 더 깊이있는 내용을 기대했는데.. 실망입니다. 영화도 뭔가 엉성해요;;	0
9427493	그냥 책으로 읽는게 더 절절하게 다가온다. 영화는 내용을 너무 비약하고 삭제해서 행간을 잃어버렸다. 책에서 꽉 찼었던 느낌과 반대로 모든 것이 엉성하다.	0
6629097	너무나 감동적인 영화	1
9995177	스킨헤드성님들이 이 영화를 싫어합니다.	0
9600841	자동차 매니아인 나의 평점은 5점 이하~속았다...아오~	0
9244416	나 이거 보고 인형 절대안삼	1
6159178	정체성은 사치인가?	0
10059230	나이먹은아저씨들이 일찐놀이하는영화 개역겹다. 알바풀었냐 현실감 개진짜 개제로	0
9988541	남극은 왔는데 그만 길을 잃었다. 오르지 못할 곳은 오르는 것이 아니다.	0
7790870	재밌음 귀엽고 신남	1
8130040	포스터는 진심 개쩐다~ 엑소시스트를 능가하는 공포물 같지만 실상은 처키보다 못한영화	0
5398829	시청률 44%는 개뿔;; 존11나 재미없어;; 이제보니 MBC가 사극너무못만드네;;	0
7141862	요즘 재방보는데 넘 재밌는데...왜 시청률은 저조했을까 싶네요...둘다 귀요미	1
8605792	연출 연기 영상이 아름다운 영화입니다. 저예산영화인 관계로 스펙타클은 부족하지만 한국영화계에 새로운 바람, 희망, 다크호스가 될것임을 믿습니다. 많은 응원부탁드리고 벌써부터 일찍 관람해주신분들 진심으로 감사합니다. New hope	1
8852339	평점이왜이렇게낮지?난 이거 또다운받고있다.3번째...정말잼있던데...끝에 견자단하고 대빵하고싸울땐 정말 가슴이뜨거워졌다.난정말로 잼있게봤다...최근댓글이니 내가 알바아닌줄은 알거다.	1
5924043	이게 어떻게 평점이 낮을수가 있지?	1
10095254	블랙코미디 조롱 대상이 우린데 기분 드러워서 점수 주겠냐? 성기 노출 등으로 어그로나 끌고서는 ㅉㅉ	0
7545407	촌동네 조폭삼류영화. 가끔씩 툭툭들이미는 유머도 영쌩뚱맞구 촌스럽기까지하다.	0
1028779	10점 만들기	1
5947102	스타뎀 형님의 얼굴에 먹칠을 한영화..	0
29672	헐...남자몸매보면 기분 좋나?	0
8673629	안봐도 별점 한개 주고싶은 10류 영화 같다... ㅋㅋ심형래 아저씨와 동급감독인듯 ㅋㅋㅋ	0
9922565	정말 완벽했다.최고의 영화중에 꼽히는 영화.	1
9869002	조잡하고 유치한 저예산 3류 B급 영화다.. 스토리에 깊이감도 없고 전체적으로 루즈하다.	0
8622080	진짜..뭐냐 민국이나 지아는 더빙 더이상시키면안되겠네 더빙이 얼마나중요한데 이런애들을시켜데뷔도안한애들을 연예인이해도 뭐라고하는판에	0
